area,district,floor,location,mode,price,year
88,浦口,高层(共27层),威尼斯水城第七街区,2室2厅1卫,20534,2010
66,六合,中层(共6层),瑞景国际,3室2厅2卫,21212,2016
50,浦口,中层(共20层),宝隆时代广场,2室2厅1卫,15000,2017
79,浦口,中层(共18层),新城花漾紫郡,3室2厅1卫,19746,2015
92,江宁,中层(共8层),南京碧桂园语林苑,3室2厅2卫,18478,2015
92,浦口,中层(共11层),威尼斯水城第四街区,2室2厅1卫,19021,2014
89,六合,低层(共11层),荣耀府,3室2厅1卫,8426,2010
49,江宁,高层(共7层),东郊小镇第四街区,2室2厅1卫,26530,2008
90,江宁,中层(共18层),百家湖国际花园,2室2厅1卫,30235,2010
86,浦口,中层(共11层),天润城第十三街区,3室2厅1卫,22093,2013
62,浦口,高层(共18层),弘阳时光里,2室2厅1卫,23064,2016
123,江宁,低层(共6层),万欣花园,3室2厅2卫,26016,2003
90,高淳,低层(共16层),高淳雅居乐花园,3室2厅1卫,7422,2017
133,建邺,中层(共18层),宋都美域锦园,3室2厅1卫,52489,2011
72,浦口,高层(共35层),珍珠雅苑,2室2厅1卫,18611,2013
88,浦口,高层(共27层),威尼斯水城第七街区,2室2厅1卫,20534,2010
63,浦口,共5层,朗诗未来街区(西区),2室2厅1卫,24126,2015
133,建邺,中层(共18层),宋都美域锦园,3室2厅1卫,52489,2011
63,江宁,低层(共6层),盛江花苑玉兰园,2室2厅1卫,13333,2012
112,六合,高层(共18层),荣盛雨荷苑,3室2厅2卫,12946,2014
49,鼓楼,高层(共7层),永庆村小区,1室0厅0卫,89411,1993
79,江宁,共5层,养龙山庄,2室2厅1卫,19240,2005
88,六合,中层(共18层),荣盛文承熙苑,3室2厅1卫,18068,2016
