area,district,floor,location,mode,price,year
107,江宁,中层(共18层),融侨世家,4室2厅1卫,27102,2013
84,江宁,中层(共15层),里外城,3室2厅1卫,16666,2014
99,鼓楼,高层(共7层),陶谷新村,3室2厅1卫,32323,1998
133,南京周边,高层(共32层),碧桂园凤凰城,3室2厅1卫,8270,2015
90,浦口,高层(共23层),林山雅苑,3室2厅1卫,7333,2017
68,浦口,中层(共11层),天润城第十三街区,2室2厅1卫,22794,2009
78,江宁,中层(共27层),朗诗未来家,3室2厅1卫,16025,2015
51,鼓楼,高层(共6层),匡庐路14号小区,2室1厅1卫,100468,1990
89,浦口,高层(共24层),弘阳旭日上城三区,2室2厅1卫,23820,2012
89,江宁,高层(共18层),中国铁建原香颂,3室2厅1卫,15505,2017
58,南京周边,中层(共19层),碧桂园凤凰城,1室1厅1卫,10689,2012
168,江宁,低层(共6层),百家湖西花园巴黎城,5室2厅3卫,24880,2006
149,玄武,低层(共17层),紫金南苑,4室2厅2卫,40083,2009
119,浦口,中层(共11层),融侨观邸,3室2厅2卫,24873,2016
81,玄武,中层(共6层),清溪路3号小区,3室1厅1卫,32579,1990
95,浦口,低层(共34层),弘阳旭日上城二区,3室2厅1卫,22315,2016
98,江宁,高层(共33层),保利中央公园东苑,3室1厅1卫,32653,2017
34,浦口,中层(共18层),星悦城,3室2厅1卫,10294,2017
89,浦口,高层(共24层),弘阳旭日上城三区,2室2厅1卫,23820,2012
58,南京周边,中层(共19层),碧桂园凤凰城,1室1厅1卫,10689,2012
68,浦口,中层(共11层),天润城第十三街区,2室2厅1卫,22794,2009
95,鼓楼,高层(共32层),苏宁睿城,2室2厅1卫,64736,2014
149,玄武,低层(共17层),紫金南苑,4室2厅2卫,40083,2009
90,建邺,中层(共32层),五矿崇文金城,3室2厅1卫,48661,2016
102,鼓楼,中层(共18层),滨江瑞景家园,3室2厅1卫,57729,2009
87,江宁,高层(共11层),银亿东城,3室2厅1卫,19355,2016
81,玄武,中层(共6层),清溪路3号小区,3室1厅1卫,32579,1990
168,江宁,低层(共6层),百家湖西花园巴黎城,5室2厅3卫,24880,2006
107,江宁,中层(共18层),融侨世家,4室2厅1卫,27102,2013
78,鼓楼,高层(共7层),峨嵋岭19号小区,2室2厅1卫,87179,1996
112,六合,高层(共26层),亚泰梧桐世家,4室2厅1卫,14732,2013
95,浦口,低层(共11层),威尼斯水城第九街区,2室2厅1卫,20210,2012
130,江宁,中层(共33层),万科金域蓝湾,3室2厅2卫,35769,2015
84,江宁,中层(共15层),里外城,3室2厅1卫,16666,2014
119,浦口,中层(共11层),融侨观邸,3室2厅2卫,24873,2016
126,南京周边,中层(共6层),仙林新街坊,3室2厅2卫,13095,2012
90,浦口,高层(共23层),林山雅苑,3室2厅1卫,7333,2017
67,六合,中层(共18层),荣盛花语馨苑,2室1厅1卫,14626,2016
95,浦口,低层(共34层),弘阳旭日上城二区,3室2厅1卫,22315,2016
86,江宁,中层(共33层),翠屏诚园(南区),3室2厅1卫,30000,2010
102,鼓楼,中层(共18层),滨江瑞景家园,3室2厅1卫,57729,2009
99,雨花台,中层(共18层),凤凰美地,3室2厅1卫,18686,2016
68,江宁,中层(共18层),朗诗未来家,2室2厅1卫,15294,2016
95,浦口,低层(共34层),弘阳旭日上城二区,3室2厅1卫,22315,2016
86,江宁,中层(共33层),翠屏诚园(南区),3室2厅1卫,30000,2010
60,浦口,中层(共20层),明发银河城,3室2厅2卫,11666,2017
275,江宁,低层(共6层),碧桂园湖光山色,5室3厅4卫,21090,2018
39,鼓楼,共5层,小市村,2室1厅1卫,29873,1988
90,建邺,中层(共32层),五矿崇文金城,3室2厅1卫,48661,2016
58,南京周边,中层(共19层),碧桂园凤凰城,1室1厅1卫,10689,2012
67,六合,中层(共18层),荣盛花语馨苑,2室1厅1卫,14626,2016
68,浦口,中层(共11层),天润城第十三街区,2室2厅1卫,22794,2009
149,玄武,低层(共17层),紫金南苑,4室2厅2卫,40083,2009
95,鼓楼,高层(共32层),苏宁睿城,2室2厅1卫,64736,2014
78,栖霞,高层(共29层),金浦紫御东方,3室2厅1卫,26923,2018
275,江宁,低层(共6层),碧桂园湖光山色,5室3厅4卫,21090,2018
34,浦口,中层(共18层),星悦城,3室2厅1卫,10294,2017
86,江宁,中层(共33层),翠屏诚园(南区),3室2厅1卫,30000,2010
149,玄武,低层(共17层),紫金南苑,4室2厅2卫,40083,2009
98,江宁,高层(共33层),保利中央公园东苑,3室1厅1卫,32653,2017
275,江宁,低层(共6层),碧桂园湖光山色,5室3厅4卫,21090,2018
90,浦口,高层(共18层),江畔明珠广场,2室2厅1卫,21111,2010
39,鼓楼,共5层,小市村,2室1厅1卫,29873,1988
275,江宁,低层(共6层),碧桂园湖光山色,5室3厅4卫,21090,2018
60,浦口,中层(共20层),明发银河城,3室2厅2卫,11666,2017
99,鼓楼,高层(共7层),陶谷新村,3室2厅1卫,32323,1998
119,浦口,中层(共11层),融侨观邸,3室2厅2卫,24873,2016
33,建邺,高层(共22层),首创立方,2室1厅1卫,23030,2017
95,浦口,低层(共34层),弘阳旭日上城二区,3室2厅1卫,22315,2016
60,浦口,中层(共20层),明发银河城,3室2厅2卫,11666,2017
95,玄武,中层(共12层),阳光聚宝山庄,2室2厅1卫,31019,2007
78,鼓楼,高层(共7层),峨嵋岭19号小区,2室2厅1卫,87179,1996
98,江宁,高层(共18层),东麒佳苑,3室2厅1卫,18274,2013
37,栖霞,高层(共20层),万达茂(商住楼),1室1厅1卫,14864,2017
99,雨花台,中层(共18层),凤凰美地,3室2厅1卫,18686,2016
68,浦口,中层(共11层),天润城第十三街区,2室2厅1卫,22794,2009
90,建邺,中层(共32层),五矿崇文金城,3室2厅1卫,48661,2016
143,溧水,低层(共6层),卧龙湖小镇,3室3厅2卫,12237,2017
104,江宁,高层(共28层),百家湖国际花园,2室2厅1卫,28365,2010
58,南京周边,中层(共19层),碧桂园凤凰城,1室1厅1卫,10689,2012
168,江宁,低层(共6层),百家湖西花园巴黎城,5室2厅3卫,24880,2006
275,江宁,低层(共6层),碧桂园湖光山色,5室3厅4卫,21090,2018
107,江宁,中层(共18层),融侨世家,4室2厅1卫,27102,2013
87,江宁,高层(共11层),银亿东城,3室2厅1卫,19355,2016
90,浦口,高层(共18层),江畔明珠广场,2室2厅1卫,21111,2010
90,建邺,中层(共32层),五矿崇文金城,3室2厅1卫,48661,2016
80,浦口,低层(共32层),明发新城中心,3室2厅1卫,16500,2016
